,Loan_ID,Name,Las_Name,Gender,Age,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,ZIP,Primary City,latitude,longitude
5487,LP001938,Deborah,Gross,Male,39,Yes,2,Graduate,No,1490,2661.8607797474706,182.1476490264564,360.0,0.0,Rural,Y,33193,North Miami Beach,25.78,-80.4
5489,LP001790,Lawrence,Bryant,Male,22,No,1,Graduate,Yes,2756,2951.1448336962967,197.09693532261352,360.0,0.0,Semiurban,Y,33149,Miami,25.83,-80.32
5496,LP002804,Lawrence,Ramirez,Male,40,No,0,Graduate,No,1326,416.21353925762696,195.67616401711769,360.0,1.0,Rural,Y,33016,Miami,25.56,-80.15
5497,LP001199,Alonso,Gross,Male,23,No,0,Graduate,No,3423,1937.9685931571453,134.516581097901,360.0,1.0,Semiurban,Y,33032,Miami,25.89,-80.14
5501,LP001275,Oscar,Morris,Male,25,Yes,0,Graduate,No,1611,1633.5825643203884,116.15507274767404,360.0,1.0,Semiurban,N,33032,Miami,25.65,-80.2
5504,LP001836,Jesse,Lopez,Male,30,Yes,0,Not Graduate,No,2388,1626.314354057868,193.27020446711393,360.0,0.0,Rural,Y,33179,Hialeah,25.9,-80.34
5506,LP001693,Ricardo,Phillips,Female,25,Yes,3+,Graduate,No,1863,2491.7874172706224,94.80509742190175,360.0,1.0,Rural,Y,33160,Opa Locka,25.7,-80.21
5508,LP001641,Stuart,Hamilton,Male,35,Yes,0,Graduate,No,2017,2295.8064411621754,126.59706037898577,360.0,1.0,Rural,Y,33185,Miami,25.75,-80.16
5509,LP002684,Mario,Rivera,Male,34,No,0,Not Graduate,Yes,2484,2657.9818687405213,146.54352661943878,360.0,1.0,Urban,Y,33187,Miami,25.75,-80.32
5510,LP002912,Stephen,Parker,Male,34,No,0,Not Graduate,Yes,3862,975.5094868639133,103.24205118688941,180.0,0.0,Rural,Y,33126,Miami,25.73,-80.27
5519,LP002002,Ernesto,Stephens,Male,23,Yes,0,Graduate,Yes,1475,2886.057495921328,93.83749202681028,360.0,0.0,Rural,Y,33180,Hialeah,25.75,-80.5
5520,LP001535,Leopoldo,Daniels,Male,25,No,0,Graduate,No,2734,997.9394758713562,230.04620585735307,360.0,1.0,Semiurban,Y,33127,Miami,25.81,-80.36
5521,LP002807,Basilio,Terry,Female,24,No,3+,Graduate,No,1957,1832.6930328940605,107.83124696466021,360.0,0.0,Rural,Y,33016,Miami,25.6,-80.24
5524,LP002978,Mateo,Collins,Male,24,No,0,Graduate,No,3435,1280.444540922368,164.01400373619555,180.0,1.0,Semiurban,Y,33181,Miami,25.76,-80.45
5525,LP001819,Kenneth,Alexander,Male,30,Yes,0,Graduate,No,937,3364.8456337290727,137.8384376020948,360.0,1.0,Semiurban,Y,33136,Miami,25.83,-80.63
5526,LP002917,Helen,Foster,Male,49,Yes,0,Graduate,No,2239,2197.1036829648497,114.7233976083566,360.0,1.0,Rural,Y,33190,Miami,25.85,-80.45
5527,LP001255,Roland,Rivera,Male,20,Yes,2,Graduate,No,2043,2089.7535456376236,107.13647457808818,360.0,1.0,Urban,Y,33101,Miami,25.77,-80.14
5530,LP001543,Joel,Rivera,Female,24,Yes,1,Graduate,No,835,1796.301032068517,302.0192319365649,360.0,1.0,Semiurban,N,33031,Miami,25.82,-80.51
5532,LP001673,Samuel,Hughes,Male,25,No,3+,Graduate,No,3958,1238.2259073665175,186.78753041906532,360.0,0.0,Urban,Y,33128,Miami,25.81,-80.45
5534,LP001658,Blake,Rodriguez,Male,41,No,3+,Graduate,No,6387,1348.450651802818,148.92903616202884,360.0,0.0,Urban,N,33156,Homestead,25.71,-80.24
5536,LP001014,Modesto,Butler,Male,26,No,0,Graduate,No,1551,1724.8284735890088,132.94332146581854,360.0,1.0,Semiurban,N,33139,Homestead,25.78,-80.24
5537,LP002863,Pierre,Rivera,Male,32,No,0,Graduate,No,1365,2874.1465709273048,154.8624894515387,360.0,0.0,Urban,Y,33132,Miami,25.49,-80.32
5538,LP002239,Liam,Shaw,Male,33,Yes,0,Graduate,No,1054,796.4857558270339,107.28566391224027,360.0,1.0,Rural,Y,33167,Miami,25.94,-80.19
5539,LP002265,Chloe,Ramirez,Male,32,No,0,Graduate,No,916,2861.8403060919964,117.36949267081577,360.0,1.0,Rural,Y,33126,Hialeah,25.7,-80.21
5540,LP001636,Caitlin,Warren,Male,39,Yes,0,Graduate,No,1978,2056.7471781278737,99.41053983330539,180.0,1.0,Semiurban,Y,33183,Hialeah,25.73,-80.45
5543,LP001322,Casey,Powell,Male,53,Yes,1,Not Graduate,Yes,1498,1221.9128182286822,149.21026038287522,480.0,0.0,Semiurban,N,33134,Hialeah,25.27,-80.16
5545,LP001910,Orlando,Armstrong,Male,25,No,0,Graduate,No,5579,1513.7499475829013,165.6301941485619,360.0,1.0,Urban,Y,33154,Hialeah,25.89,-80.32
5546,LP002473,Francesca,Rodriguez,Male,32,No,0,Graduate,No,5111,1141.5665022110902,238.19777346699348,360.0,1.0,Semiurban,Y,33182,Opa Locka,25.73,-80.3
5551,LP001666,Catherine,Collins,Male,29,Yes,2,Graduate,No,1538,1834.4435958346894,92.84429377003869,180.0,1.0,Semiurban,Y,33137,Miami,25.73,-80.13
5553,LP001205,Colin,Price,Male,24,No,0,Graduate,No,1336,2477.798826893504,173.24571828479208,360.0,0.0,Semiurban,Y,33155,Miami,25.95,-80.18
5555,LP001586,Jennifer,Roberts,Male,41,Yes,0,Graduate,No,1524,1621.8740664539723,152.07581952324875,360.0,1.0,Semiurban,Y,33134,Homestead,25.86,-80.32
5557,LP002990,Archie,Flores,Male,46,Yes,0,Not Graduate,Yes,2641,1485.99708687093,311.61573864601644,360.0,1.0,Urban,Y,33101,Miami,25.78,-80.14
5558,LP002768,Dario,Lambert,Male,24,No,0,Graduate,No,2469,1640.0494796233809,305.2003463833973,300.0,1.0,Rural,Y,33012,Miami,25.81,-80.31
5559,LP001265,Janice,Hale,Male,26,Yes,0,Graduate,No,2028,3208.0167139627724,163.74587013982563,360.0,1.0,Rural,N,33174,Miami,25.93,-80.45
5560,LP001790,Esmeralda,Daniels,Male,37,No,0,Graduate,No,2437,2538.91620919639,123.53220014700031,360.0,1.0,Semiurban,Y,33129,Miami,25.49,-80.16
5561,LP001005,Blaine,Snyder,Male,33,No,2,Graduate,No,2127,1899.0495147245827,145.73379627788256,360.0,1.0,Rural,N,33149,Miami,25.85,-80.18
5565,LP001935,Elliot,Rivera,Male,31,Yes,0,Graduate,No,1312,3287.005100947553,176.55788160327182,360.0,0.0,Semiurban,Y,33035,Miami,25.76,-80.41
5571,LP002777,Florentino,Flores,Male,35,No,0,Graduate,No,5587,2919.534064149869,101.83555801321444,360.0,1.0,Urban,N,33162,Miami,25.66,-80.21
5578,LP002863,Andrew,Lopez,Male,34,No,0,Graduate,No,2515,3555.908264320866,156.58127407465133,360.0,1.0,Urban,Y,33122,Hialeah,25.81,-80.24
5579,LP001778,Vincent,Parker,Male,38,Yes,0,Graduate,No,842,1367.8687789623052,256.8499799957044,84.0,0.0,Rural,N,33140,Miami,25.85,-80.24
5580,LP002640,Rodney,Rivera,Male,22,Yes,0,Graduate,No,1168,1192.5345060149536,121.25313626841265,360.0,1.0,Urban,Y,33156,Miami,25.68,-80.18
5585,LP002600,Aidan,Daniels,Male,35,Yes,0,Graduate,No,1100,1845.8395869927851,186.8691053310865,360.0,1.0,Urban,Y,33184,Miami,25.96,-80.24
5588,LP002051,Michael,Wilson,Male,44,Yes,0,Graduate,No,2632,683.7663477286849,154.80116825527665,360.0,1.0,Rural,Y,33168,Homestead,25.71,-80.27
5589,LP001641,Lewis,Parker,Male,23,No,3+,Graduate,No,2899,1193.8287732785398,114.41162856653463,360.0,1.0,Urban,Y,33130,Miami Beach,25.85,-80.14
5591,LP002197,Trevor,Harris,Male,52,Yes,1,Graduate,No,3042,1781.4579286277649,131.2836171490875,360.0,1.0,Semiurban,Y,33010,Miami,25.53,-80.4
5598,LP002161,Abraham,Spencer,Male,51,No,0,Graduate,Yes,1823,2767.161885383983,99.07865503732566,360.0,0.0,Semiurban,Y,33135,Miami,25.77,-80.36
5607,LP002894,Philip,Garcia,Male,26,No,0,Not Graduate,No,3654,1556.871876249098,96.2967857378194,360.0,1.0,Rural,Y,33175,Miami,25.78,-80.36
5608,LP001641,Alejandro,Parker,Male,33,No,1,Graduate,No,2406,1543.2564512494648,116.48445548381122,360.0,1.0,Semiurban,N,33174,Miami,25.77,-80.18
5613,LP001915,Hunter,Simmons,Male,30,Yes,3+,Graduate,No,2300,2142.4037672156833,174.44129980458172,240.0,1.0,Rural,Y,33156,Miami,25.93,-80.19
5615,LP001120,Horace,Butler,Male,43,Yes,0,Graduate,No,1197,1674.2374038911667,134.58211844898148,360.0,1.0,Rural,Y,33054,Miami,25.78,-80.14
5616,LP002832,Jordan,Hamilton,Male,32,Yes,0,Graduate,No,2242,2426.813851901187,116.2397354578344,360.0,0.0,Semiurban,N,33039,Hialeah,25.53,-80.16
5617,LP001603,Richard,Spencer,Male,28,Yes,0,Graduate,No,1080,3004.2890444559403,174.86199440913845,360.0,1.0,Rural,N,33183,Miami,25.73,-80.49
5618,LP001765,Guillermo,Phillips,Female,29,No,2,Graduate,Yes,1943,1606.1934229298472,270.6215987284247,360.0,1.0,Semiurban,N,33180,Miami,25.92,-80.18
5620,LP001097,Pierre,Lawson,Male,34,No,0,Graduate,No,1250,1939.5326576698417,133.16723749912006,360.0,1.0,Rural,Y,33140,Miami,25.82,-80.16
5623,LP001018,Everett,Rivera,Male,37,No,0,Graduate,No,1255,1268.2184057966433,246.5376068592279,360.0,1.0,Rural,Y,33141,Miami,25.77,-80.24
5626,LP002912,Karl,Morris,Male,35,Yes,1,Not Graduate,No,3490,2561.349688382177,135.06044833695393,360.0,1.0,Rural,Y,33031,Hialeah,25.65,-80.27
5627,LP002448,Ruben,Alexander,Female,39,No,0,Graduate,No,1346,1014.8479200303751,100.10743631425785,360.0,1.0,Urban,Y,33010,Miami,25.79,-80.32
5631,LP001543,Terrence,Clark,Male,45,No,0,Not Graduate,No,2068,2931.4509268391002,196.23406044726605,360.0,1.0,Urban,Y,33144,Miami,25.71,-80.41
5632,LP001743,Allison,Alexander,Male,26,No,0,Graduate,Yes,4794,1724.2422244867814,109.65882735999412,36.0,1.0,Semiurban,Y,33140,Miami,25.76,-80.35
5634,LP001532,Angela,Phillips,Male,33,Yes,0,Graduate,No,2455,962.1835182891052,121.7622836243192,360.0,1.0,Rural,Y,33169,Hialeah,25.9,-80.21
5639,LP001198,Guillermo,Roberts,Male,23,No,0,Graduate,Yes,1796,2084.0186024254576,127.36036595710146,480.0,1.0,Rural,Y,33147,Miami,25.64,-80.51
5646,LP002347,Michael,Price,Male,23,No,0,Graduate,No,8531,3685.5908209873096,110.53998775170726,360.0,1.0,Semiurban,Y,33142,Miami,25.96,-80.28
5647,LP001432,Abel,Gilbert,Male,27,Yes,0,Graduate,No,2092,1119.8358208678944,93.50730556474251,360.0,1.0,Semiurban,N,33127,Hialeah,25.81,-80.27
5648,LP001657,Amador,Morris,Male,30,No,0,Graduate,No,3424,1572.3344214164317,126.68036278909167,360.0,1.0,Semiurban,Y,33139,Hialeah,25.7,-80.31
5650,LP002446,Jessica,Bell,Male,23,Yes,2,Not Graduate,No,1415,2422.0511747543496,113.47192332699743,180.0,1.0,Rural,N,33015,Miami,25.74,-80.16
5651,LP001570,Scott,Robinson,Male,27,Yes,0,Graduate,Yes,1317,1944.064546212006,132.63968650914325,360.0,1.0,Rural,Y,33054,Hialeah,25.91,-80.16
5653,LP001207,Annabelle,Diaz,Male,26,No,1,Graduate,Yes,2730,2224.5329920013864,93.140630300272,480.0,1.0,Semiurban,Y,33013,Miami,25.91,-80.24
5656,LP002626,Christina,Bennett,Male,28,No,0,Graduate,No,1990,683.2659857366514,167.38988532483327,360.0,1.0,Semiurban,Y,33176,Key Biscayne,25.88,-80.24
5659,LP002387,Eduardo,Snyder,Male,32,No,0,Graduate,No,1375,2222.17946772719,158.61254852821563,360.0,1.0,Semiurban,Y,33016,Miami,25.27,-80.18
5660,LP001964,Carolyn,Butler,Male,37,No,0,Graduate,No,1384,2720.6331456367657,192.83767099488904,360.0,1.0,Semiurban,Y,33035,Miami,25.78,-80.21
5663,LP002788,Warren,Bennett,Male,35,No,0,Graduate,No,1559,2059.512371567024,165.94166366632817,360.0,1.0,Semiurban,Y,33012,Miami,25.92,-80.34
5665,LP002369,Amelia,Parker,Male,27,No,0,Graduate,No,1483,1924.623087600397,113.51570953503483,360.0,1.0,Urban,Y,33039,Hialeah,25.73,-80.2
5666,LP002571,Evan,Hernandez,Male,30,No,2,Graduate,No,1285,1231.215237507065,111.62681461685165,360.0,0.0,Rural,Y,33034,Homestead,25.78,-80.28
5668,LP001014,Liam,Kelly,Male,35,Yes,0,Graduate,No,1292,2245.653209912036,284.648639973506,360.0,1.0,Urban,Y,33134,Miami,25.89,-80.2
5670,LP001688,Jay,Griffin,Male,24,No,3+,Graduate,No,1197,1299.9898479636356,108.60719189998393,360.0,0.0,Urban,Y,33161,Miami,25.77,-80.14
5675,LP001432,Ava,Gross,Male,33,Yes,0,Graduate,No,4059,4238.2056783418275,231.27873607550993,360.0,1.0,Rural,Y,33054,Miami,25.78,-80.35
5677,LP002224,Hunter,Warren,Female,23,No,0,Not Graduate,No,2134,2777.5415196735303,209.51831088085004,360.0,1.0,Semiurban,Y,33145,Miami,25.6,-80.3
5678,LP002772,Henry,Jordan,Female,28,Yes,2,Graduate,No,1702,1063.4817490706273,117.1905296610273,360.0,1.0,Urban,Y,33149,Miami,25.78,-80.21
5679,LP002798,Abraham,Rodriguez,Male,26,No,0,Not Graduate,Yes,1874,1253.5960502935527,109.30106745054356,360.0,1.0,Semiurban,Y,33181,Miami,25.96,-80.31
5683,LP002734,Esteban,Rivera,Female,37,No,0,Graduate,No,833,3777.0281282481396,152.47858379709106,360.0,1.0,Semiurban,N,33170,Miami,25.85,-80.18
5685,LP001432,Celestino,Rivera,Male,29,No,0,Not Graduate,No,837,1874.680638138472,228.83724587297934,360.0,1.0,Semiurban,Y,33136,Miami,25.52,-80.16
5690,LP001520,Nelson,Parker,Male,26,No,3+,Graduate,No,1201,3618.3448359718027,129.3758750161493,360.0,0.0,Semiurban,Y,33186,Miami,25.9,-80.38
5693,LP002500,Orlando,Parker,Male,33,Yes,0,Not Graduate,No,964,2097.527528344484,264.53756719011017,360.0,1.0,Urban,Y,33145,Miami,25.76,-80.14
5694,LP001790,Miguel,Alexander,Male,42,Yes,2,Graduate,No,1088,3243.6671643279547,148.57116967411648,180.0,0.0,Semiurban,Y,33141,Miami,25.49,-80.41
5695,LP001925,Perry,Wilson,Male,33,Yes,1,Graduate,No,1383,1474.43075794379,116.5566250303818,360.0,1.0,Semiurban,Y,33161,Miami,25.88,-80.24
5696,LP001018,Rory,Martinez,Male,27,No,0,Graduate,No,1375,2528.7725840729718,101.52260996426273,300.0,1.0,Semiurban,Y,33131,Hialeah,25.6,-80.38
5699,LP002545,Fernando,Hogan,Male,33,No,0,Graduate,No,1851,1184.234383558868,104.18496748598521,180.0,1.0,Urban,N,33193,Miami,25.78,-80.2
5702,LP002804,Herbert,Price,Male,28,No,0,Graduate,No,4770,1530.963699160504,177.42237958963025,360.0,1.0,Semiurban,Y,33193,Miami,25.81,-80.45
5707,LP002161,Jack,Ryan,Male,39,No,0,Graduate,No,1182,4051.5894156564273,142.60675068740056,360.0,1.0,Semiurban,Y,33180,Miami,25.52,-80.36
5708,LP001708,Fernando,Rivera,Male,23,No,2,Graduate,Yes,1046,1524.1253277599399,126.19810610947684,360.0,1.0,Semiurban,N,33182,Homestead,25.94,-80.3
5712,LP001385,Jordan,Bailey,Male,29,No,0,Graduate,No,2688,400.2838447243414,135.87888381231264,360.0,1.0,Rural,Y,33137,Miami,25.5,-80.18
5713,LP002637,Hunter,Patterson,Male,28,No,1,Graduate,No,2086,2447.11752827984,117.19617460757408,360.0,0.0,Rural,Y,33033,Homestead,25.79,-80.46
5716,LP002006,Phillip,Parker,Male,25,No,1,Not Graduate,No,2845,3428.5420466494156,175.3086179697355,360.0,0.0,Semiurban,Y,33175,Miami,25.6,-80.34
5718,LP001994,Marcelino,Parker,Female,45,Yes,1,Graduate,No,2053,630.8417117245529,141.9234621257744,180.0,1.0,Rural,Y,33055,Homestead,25.53,-80.36
5719,LP001207,Deborah,Rivera,Male,46,No,0,Graduate,No,2117,1878.8097988229792,131.1327673414528,360.0,1.0,Urban,Y,33012,Miami,25.88,-80.36
5721,LP002768,Frank,Alexander,Male,26,Yes,0,Graduate,No,3149,3507.267102686971,96.6176917030052,360.0,1.0,Semiurban,N,33168,Miami,25.89,-80.32
5726,LP001535,Jared,Reed,Male,33,No,0,Graduate,No,813,1101.874532683828,119.02473151824586,360.0,0.0,Rural,Y,33134,Miami,25.93,-80.36
5727,LP002941,Gerardo,Spencer,Male,26,Yes,0,Not Graduate,No,2094,3489.1848150821143,286.9180618603053,360.0,0.0,Semiurban,Y,33126,Miami,25.77,-80.35
5730,LP002877,Panfilo,Bryant,Female,26,No,0,Graduate,No,1021,2247.08000642926,241.53595598675673,360.0,1.0,Urban,Y,33168,Miami,25.76,-80.24
5731,LP001955,Gustavo,Parker,Male,22,No,0,Graduate,No,2574,3456.418891278044,101.37570258485911,360.0,1.0,Semiurban,Y,33139,Opa Locka,25.76,-80.31
5733,LP001319,Wallace,Bell,Female,19,No,2,Graduate,No,1207,1751.8609009270722,322.9645473657783,360.0,1.0,Semiurban,Y,33185,Miami,25.86,-80.3
5735,LP002082,Bernard,Lawson,Female,30,No,0,Graduate,No,2075,2102.896003120908,114.09366831945067,360.0,1.0,Rural,Y,33035,Miami Beach,25.77,-80.2
5736,LP002387,Roberto,Coleman,Female,24,Yes,0,Graduate,No,791,1690.3210921945122,199.33324167391154,360.0,0.0,Semiurban,Y,33172,Miami,25.76,-80.41
5739,LP002187,Nathaniel,Parker,Male,38,No,0,Graduate,Yes,1791,1140.008790906673,125.87355052708298,180.0,1.0,Urban,N,33018,Miami,25.78,-80.3
5740,LP002945,Thomas,Roberts,Female,35,Yes,0,Graduate,No,2957,1107.3740093088609,144.4112950667595,360.0,0.0,Semiurban,Y,33178,Miami,25.65,-80.15
5741,LP002277,Garrett,Ortiz,Male,29,Yes,0,Graduate,No,2598,1656.5693816733292,223.58038581839475,480.0,1.0,Semiurban,Y,33129,Homestead,25.7,-80.46
5742,LP002768,Alberto,Diaz,Male,22,No,0,Graduate,No,828,3257.662849750017,144.00463476557124,360.0,0.0,Urban,Y,33033,Miami,25.46,-80.36
5744,LP002315,Jennifer,Parker,Male,36,Yes,1,Graduate,No,1191,1444.8948504297182,120.83882048960263,360.0,1.0,Rural,Y,33032,Miami,25.48,-80.24
5756,LP002776,Hayden,Rivera,Male,22,Yes,0,Graduate,No,1780,2354.695181447778,179.2183562245293,360.0,1.0,Rural,Y,33012,Opa Locka,25.67,-80.33
5759,LP001872,Iris,Ramirez,Female,26,No,1,Graduate,Yes,1704,748.7086346951944,117.1193611187467,120.0,0.0,Urban,Y,33015,Homestead,25.81,-80.51
5767,LP002181,Miguel,Parker,Male,26,No,0,Not Graduate,No,3763,1864.2812300480543,175.32020742712274,300.0,1.0,Rural,Y,33175,Miami,25.73,-80.36
5768,LP001758,Reginald,Rivera,Male,32,No,0,Graduate,No,2241,1912.0619243289534,183.12489351165084,360.0,1.0,Semiurban,Y,33184,Miami,25.73,-80.18
5770,LP002335,Luciano,Rivera,Female,46,No,0,Graduate,Yes,1637,1751.6110927985485,101.90621078606029,360.0,1.0,Rural,Y,33018,Miami,25.48,-80.18
5772,LP001914,Guy,Stewart,Female,21,No,0,Graduate,No,2758,566.682610582417,173.97930983865297,36.0,1.0,Semiurban,Y,33122,Miami,25.68,-80.24
5775,LP002926,Lucas,Parker,Male,21,Yes,1,Graduate,No,1551,2584.4354954171863,138.24241258158668,360.0,1.0,Rural,Y,33014,Miami Beach,25.77,-80.35
5778,LP001013,Aidan,Hamilton,Female,21,Yes,0,Not Graduate,No,4889,872.4544779820634,122.83317709521397,360.0,1.0,Rural,Y,33189,Opa Locka,25.68,-80.13
5779,LP001487,Angel,Rivera,Male,22,No,0,Not Graduate,Yes,1866,2444.8499587272313,161.73790394483808,360.0,1.0,Semiurban,Y,33030,Miami,25.67,-80.15
5780,LP001586,Pedro,Collins,Male,43,Yes,1,Not Graduate,No,2547,1454.8511274749037,129.36317764130644,360.0,1.0,Rural,N,33145,Miami,25.89,-80.41
5787,LP002931,Alberto,Torres,Male,34,No,1,Graduate,Yes,2233,3455.3598544031065,109.0356200328616,360.0,1.0,Rural,Y,33160,Miami,25.7,-80.36
5791,LP001835,Jay,Parker,Male,22,No,0,Graduate,No,1615,2233.8751416221935,161.65271727593324,360.0,1.0,Semiurban,Y,33173,Miami,25.85,-80.18
5794,LP001520,Neil,Hayes,Male,23,No,1,Graduate,No,4052,3630.195045990583,96.59850948446893,360.0,1.0,Semiurban,N,33141,Miami,25.56,-80.58
5796,LP001157,Freddie,Dunn,Male,27,Yes,0,Graduate,No,2146,1674.7895462636393,135.31895993894688,360.0,1.0,Semiurban,N,33012,Miami,25.61,-80.3
5797,LP001751,Jackson,Silva,Male,25,Yes,1,Graduate,No,1827,1379.1004279743552,165.91727629228726,360.0,1.0,Urban,N,33018,Miami,25.88,-80.15
5798,LP002945,Wilson,Ingram,Male,38,Yes,2,Not Graduate,Yes,1060,4160.5498157766115,187.69642798919404,180.0,1.0,Rural,Y,33162,Homestead,25.68,-80.49
5799,LP002370,Florencio,Blake,Male,32,Yes,0,Graduate,No,3122,3226.6454476674344,202.34410310979982,300.0,1.0,Rural,Y,33144,Miami,25.9,-80.21
5800,LP001743,Fabian,Rivera,Male,26,No,0,Graduate,No,1686,1644.9002035870303,127.0392375276701,360.0,1.0,Semiurban,Y,33149,Miami,25.85,-80.16
5801,LP002600,Sherman,Parker,Female,33,No,0,Graduate,No,1128,1241.3022916585428,108.65632931215342,60.0,1.0,Semiurban,Y,33031,Miami Beach,25.81,-80.15
5802,LP001577,Brooke,Rivera,Male,37,Yes,0,Graduate,No,1980,1625.8842676632119,121.06492241603618,360.0,1.0,Rural,Y,33134,Miami,25.56,-80.18
5804,LP001119,Raul,Jimenez,Male,33,No,3+,Graduate,No,1306,1854.8757781551374,97.20746931520375,360.0,1.0,Semiurban,Y,33180,Homestead,25.78,-80.35
5806,LP002262,Bryce,Parker,Male,27,Yes,0,Graduate,Yes,3411,1668.3739949783778,139.7388146882602,360.0,1.0,Rural,Y,33157,Miami,25.57,-80.39
5807,LP002912,Herbert,Alexander,Female,46,No,0,Graduate,Yes,1888,2810.0408658576384,114.52697358041615,360.0,1.0,Semiurban,Y,33140,Miami,25.76,-80.24
5809,LP002151,Enrique,Bryant,Male,25,Yes,1,Graduate,No,1542,2569.043306334733,188.96001025979803,360.0,1.0,Urban,Y,33018,Homestead,25.9,-80.46
5816,LP001666,Patrick,Harris,Male,24,No,0,Graduate,No,2084,1214.9944826316885,110.04808782581244,360.0,1.0,Rural,Y,33182,Miami,25.96,-80.18
5818,LP001875,Erica,Flores,Male,41,Yes,1,Graduate,No,1125,955.4595179393709,105.19394565859866,360.0,1.0,Rural,Y,33143,Miami,25.74,-80.58
5820,LP002940,Roland,Sanchez,Male,42,No,3+,Graduate,No,1587,3347.8605760373002,206.1786677299379,360.0,1.0,Semiurban,Y,33030,North Miami Beach,25.83,-80.3
5821,LP001814,Daphne,Rivera,Male,23,No,0,Graduate,No,2162,1744.8744709810821,126.00717011664929,360.0,1.0,Semiurban,Y,33129,Miami,25.66,-80.41
5822,LP001562,Amanda,Patterson,Male,26,Yes,0,Graduate,No,2095,2293.8861195154377,98.31527632475498,360.0,1.0,Rural,Y,33167,Hialeah,25.89,-80.18
5825,LP001636,Marco,Rivera,Male,21,Yes,0,Graduate,No,2481,3175.0617293299797,155.21750054339674,360.0,1.0,Semiurban,Y,33196,Miami,25.78,-80.16
5827,LP001953,Boyd,Walker,Male,19,Yes,0,Graduate,No,4076,1858.477572969009,101.13316364791189,180.0,1.0,Semiurban,N,33175,Miami,25.61,-80.49
5830,LP002928,Everett,Hernandez,Male,23,Yes,2,Graduate,No,3542,1499.045848724843,276.1450829724252,360.0,1.0,Urban,Y,33160,Homestead,25.81,-80.45
5836,LP001699,Toby,Parks,Male,24,No,0,Graduate,No,1795,3309.4369513898146,164.5118056113261,360.0,1.0,Rural,Y,33174,Miami,25.46,-80.24
5839,LP001641,Raymond,Collins,Male,21,No,0,Not Graduate,No,1479,2458.989740874935,112.96471785509497,360.0,1.0,Rural,Y,33182,Miami,25.78,-80.34
5841,LP001778,Isaac,King,Male,34,No,0,Graduate,Yes,4270,2626.594334394251,226.4063936774958,360.0,1.0,Semiurban,Y,33178,Miami,25.78,-80.24
5844,LP001824,Daphne,Terry,Female,36,Yes,0,Graduate,No,6341,2146.8421331233526,97.97717386370407,120.0,1.0,Urban,Y,33101,Miami,25.77,-80.16
5846,LP002250,Joel,Gonzales,Male,37,No,0,Graduate,No,1891,2337.4084074213865,123.85338475256687,360.0,1.0,Rural,Y,33142,Miami,25.9,-80.18
5847,LP002035,Delilah,Hughes,Male,22,No,0,Graduate,No,1773,3339.230906677015,195.8469727129277,360.0,1.0,Urban,N,33155,Miami,25.73,-80.14
5849,LP001265,Erica,Riley,Male,22,No,0,Graduate,No,2882,2450.247079368552,121.14995029704023,360.0,0.0,Urban,Y,33168,Miami,25.48,-80.36
5855,LP001691,Isabella,Parker,Female,36,Yes,2,Graduate,No,1252,1732.6455765061364,160.58075023296527,360.0,1.0,Urban,Y,33176,Miami,25.48,-80.14
5856,LP002926,Nelson,Clark,Male,20,No,3+,Graduate,No,2278,1549.001667214817,206.9180953343121,240.0,1.0,Urban,Y,33185,Miami Beach,25.76,-80.51
5859,LP001531,Iris,Torres,Male,37,No,0,Graduate,No,2699,2731.081665865653,138.67412549974992,360.0,1.0,Urban,Y,33169,Miami,25.73,-80.27
5861,LP002097,Frank,Porter,Male,24,Yes,3+,Graduate,No,2549,2810.717112743252,139.36311250557316,360.0,1.0,Rural,Y,33142,Miami,25.57,-80.31
5862,LP002868,Cornell,Reed,Female,37,Yes,0,Graduate,Yes,1858,2437.6297553017243,100.36043468824079,360.0,1.0,Rural,Y,33016,Miami,25.67,-80.18
5864,LP002964,Eric,Rivera,Male,36,Yes,0,Graduate,No,1288,2491.9416309194567,168.64213035280227,360.0,0.0,Urban,N,33122,Miami,25.66,-80.18
5865,LP001112,Florentino,Fisher,Male,24,No,0,Graduate,No,1429,3399.2450769486304,101.98506641295855,360.0,0.0,Urban,Y,33185,Miami,25.5,-80.38
5866,LP001884,Ellen,Hoffman,Male,28,Yes,0,Graduate,Yes,2739,1648.7019280833308,123.31545644726556,360.0,1.0,Rural,N,33149,Miami,25.9,-80.34
5867,LP001713,Blaine,Johnson,Male,49,Yes,0,Graduate,Yes,2816,1992.3197726908652,110.7889132968913,360.0,0.0,Urban,Y,33166,Hialeah,25.56,-80.5
5868,LP002318,Calvin,Rivera,Male,27,No,0,Graduate,No,2231,2867.310255355573,167.98694344703148,360.0,1.0,Rural,Y,33141,Miami,25.81,-80.36
5869,LP002842,Alejandro,Parker,Male,24,No,0,Graduate,No,1052,1578.556234509554,252.9191049454322,360.0,1.0,Urban,Y,33133,Miami,25.76,-80.18
5870,LP002961,Scott,Price,Male,39,Yes,1,Not Graduate,Yes,2826,1038.777117596616,105.50884344293522,480.0,1.0,Semiurban,Y,33031,Miami,25.93,-80.39
