,LoanID,FirstName,LastName,Gender,Age,Married,Dependents,EducationLevel,SelfEmployed,Income,CoapplicantIncome,LoanAmount,LoanTerm,CreditHistory,PropertyArea,ZIPCode,City,Latitude,Longitude,TotalIncome,IncomeRatio,DTI,IncomeToLoanRatio,LoanStatus
7601,LP002160,Max,Rivera,Male,38,No,0,Graduate,No,2148,1538.075098514419,37697,360.0,1.0,Urban,33189,Miami,25.76,-80.2,3686.075098514419,1.395643397825968,10.224093351173867,0.0569791500875378,N
7602,LP002236,Max,Collins,Male,21,No,0,Graduate,No,4160,2574.082536621967,130816,360.0,0.0,Rural,33147,Opa Locka,25.82,-80.58,6734.082536621967,1.6154821994393826,19.423073034174244,0.03180014829876851,N
7603,LP001871,Dexter,Ford,Male,35,No,1,Graduate,No,2384,1707.5148290274756,78178,360.0,1.0,Semiurban,33187,Miami,25.93,-80.41,4091.5148290274756,1.3953639497276271,19.10267971309412,0.030494122462553883,Y
7604,LP002916,Glenn,Bell,Male,36,Yes,2,Not Graduate,No,2651,1675.9949390146003,123479,360.0,1.0,Urban,33031,Miami Beach,25.76,-80.17,4326.9949390146,1.58080381659215,28.53030138434352,0.021469063816002592,N
7607,LP002277,Florentino,Bailey,Male,36,Yes,2,Graduate,No,1957,1798.0557207850727,157396,360.0,0.0,Urban,33180,Hialeah,25.88,-80.14,3755.0557207850725,1.0877928778915216,41.90459665680941,0.012433527957966163,Y
7612,LP001603,Bernardo,Hughes,Female,24,Yes,3+,Graduate,No,3537,2032.1367506091526,157492,480.0,1.0,Rural,33184,Homestead,25.74,-80.23,5569.136750609153,1.7396763886837772,28.27435071190606,0.022458140996742714,N
7619,LP002368,Amador,Wallace,Male,21,No,2,Graduate,No,2559,809.3948771988443,88796,360.0,0.0,Rural,33174,Hialeah,25.56,-80.45,3368.3948771988444,3.157719862254393,26.353693537345436,0.028818541166931316,N
7620,LP002974,Samuel,Parker,Male,35,Yes,0,Graduate,No,1844,417.5075133046305,66244,360.0,1.0,Semiurban,33193,Miami,25.81,-80.41,2261.5075133046303,4.40613356123372,29.27901879240333,0.027836063099101818,Y
7624,LP002529,Julio,Reed,Male,36,Yes,1,Graduate,No,1887,928.9810299237643,26371,360.0,1.0,Rural,33184,Miami,25.9,-80.3,2815.9810299237643,2.029073646969646,9.361440393055709,0.07155316244501744,Y
7632,LP001289,Clara,Griffin,Female,42,Yes,0,Graduate,No,5025,2654.1511238759063,104095,180.0,0.0,Rural,33162,Miami,25.85,-80.26,7679.151123875907,1.8925476425103303,13.553769752836173,0.04827274823240086,Y
7634,LP002116,Perry,Ramirez,Male,40,Yes,0,Graduate,No,11916,1017.6535082224526,46149,360.0,1.0,Urban,33160,Miami,25.78,-80.24,12933.653508222453,11.697795083230396,3.5678574590856615,0.2582015167930661,Y
7635,LP001910,Gerardo,Harris,Male,34,Yes,3+,Graduate,Yes,3393,2291.03668454507,229212,180.0,1.0,Urban,33030,Miami,25.88,-80.14,5684.03668454507,1.4803427985592876,40.318473339515855,0.01480282531968082,N
7641,LP001316,Hayden,Hughes,Female,41,Yes,2,Not Graduate,Yes,7392,1347.4587092867787,46692,360.0,0.0,Rural,33149,Hialeah,25.68,-80.23,8739.458709286779,5.481814125335545,5.342053724295903,0.15831066755188145,N
7648,LP002807,Antero,Reed,Male,23,No,0,Graduate,No,2216,1332.1623004102516,45198,360.0,1.0,Semiurban,33033,Miami,25.78,-80.3,3548.1623004102516,1.6622132198893371,12.734836047023128,0.04902763335472024,Y
7653,LP001238,Hunter,Griffin,Male,32,Yes,1,Not Graduate,Yes,3466,4270.881779737623,71008,360.0,1.0,Rural,33143,Hialeah,25.94,-80.31,7736.881779737623,0.811352040789125,9.176671603582932,0.04881071413482798,Y
7658,LP002541,Mario,Gonzalez,Male,43,Yes,2,Graduate,No,2042,2405.8125211737347,124453,180.0,1.0,Semiurban,33039,Miami,25.86,-80.18,4447.812521173735,0.8484250360323762,27.974431246018302,0.016407668696867918,Y
7659,LP001030,Todd,Rivera,Male,32,No,1,Graduate,No,2200,1289.2885693395347,30144,360.0,1.0,Semiurban,33145,Miami,25.56,-80.24,3489.2885693395347,1.705044942873611,8.636535174999622,0.07298059379664952,Y
7663,LP001310,Damian,Rivera,Male,25,No,3+,Graduate,No,2927,2184.423727627638,82392,360.0,1.0,Urban,33138,Miami,25.49,-80.29,5111.423727627638,1.3393283705111831,16.11603505295385,0.03552486254900295,N
7667,LP002239,Stanley,Griffin,Male,36,No,0,Not Graduate,No,3514,3736.346300545998,136542,360.0,1.0,Urban,33183,Miami,25.78,-80.16,7250.346300545998,0.9402393349223837,18.829882664646554,0.025735482595226414,Y
7668,LP002086,Marc,Baker,Female,37,Yes,0,Graduate,No,2083,1585.4395814917293,58772,300.0,1.0,Urban,33143,Miami,25.76,-80.35,3668.4395814917293,1.313003044239072,16.016614715892814,0.03544144420056829,Y
7670,LP002181,Sherman,Bennett,Female,24,Yes,2,Graduate,No,8174,1898.0571327881567,68797,360.0,1.0,Semiurban,33178,Miami,25.88,-80.4,10072.057132788157,4.3042412252226985,6.8298034145029645,0.1188115933602721,N
7671,LP001248,Sidney,Parker,Male,38,Yes,2,Graduate,No,2693,832.209555067749,36102,360.0,1.0,Semiurban,33039,Miami,25.85,-80.46,3525.209555067749,3.232080073518876,10.238189034487592,0.07459213915741074,N
7678,LP001892,Nathaniel,Parker,Female,34,No,2,Not Graduate,No,3565,2232.1958826879036,82846,360.0,1.0,Urban,33176,Miami,25.89,-80.41,5797.195882687904,1.5963669052215517,14.28823752701411,0.043031129672770285,Y
7679,LP001310,Ambrosio,Ruiz,Female,35,No,1,Not Graduate,No,3193,1937.0123460649675,61496,360.0,1.0,Urban,33034,Key Biscayne,25.92,-80.24,5130.0123460649675,1.6475643235623443,11.98515923415425,0.05192123193001284,N
7680,LP002529,Jordan,Rodriguez,Female,33,Yes,1,Graduate,No,6781,1227.052942785632,66067,180.0,1.0,Urban,33015,Miami,25.85,-80.3,8008.052942785632,5.521748911425951,8.249040238835182,0.1026366773627172,Y
7683,LP001608,Sidney,Brooks,Male,34,Yes,0,Not Graduate,No,1881,1130.3612278840476,66541,360.0,1.0,Urban,33160,Miami,25.66,-80.3,3011.3612278840474,1.662598959236017,22.089316309100138,0.02826786089988278,N
7684,LP002250,Eva,Hamilton,Male,41,No,3+,Graduate,No,2309,2881.044963833455,86833,360.0,1.0,Urban,33134,Homestead,25.67,-80.2,5190.044963833455,0.8011672367972918,16.727460579704946,0.026590966672040906,N
7685,LP002142,Avery,Martinez,Male,36,No,1,Graduate,No,3311,1600.1128619391493,61610,360.0,1.0,Urban,33169,Miami Gardens,25.94,-80.46,4911.112861939149,2.067936669992122,12.542464257565591,0.05374040349937511,Y
7688,LP002314,Enrique,Alexander,Male,33,No,0,Graduate,No,3079,2870.1156954170447,85322,360.0,1.0,Urban,33128,Miami,25.85,-80.13,5949.115695417045,1.0724054084322643,14.339553105785411,0.036086401087631705,Y
7695,LP002224,Jonathan,Parker,Male,36,Yes,2,Graduate,No,2068,1624.542979992226,30045,360.0,1.0,Rural,33013,Miami,25.48,-80.31,3692.542979992226,1.272190292999752,8.134466056778697,0.06882779737735473,Y
7697,LP002743,Virgil,Silva,Male,26,Yes,0,Graduate,No,2558,1198.459756145258,8339,360.0,1.0,Semiurban,33180,Miami,25.78,-80.33,3756.4597561452583,2.1326267820945706,2.2193185133551236,0.3067146282973621,N
7699,LP001014,Chloe,Morales,Female,39,No,1,Graduate,No,2803,1414.021843284732,86957,360.0,1.0,Semiurban,33055,Hialeah,25.67,-80.51,4217.021843284732,1.980888149043207,20.61558788237173,0.032233952022815614,N
7700,LP001639,Alonso,Black,Male,38,No,1,Graduate,No,380,737.3905942063066,84779,360.0,1.0,Urban,33187,Homestead,25.96,-80.63,1117.3905942063066,0.5146327742818293,75.80446441447901,0.004482189195564991,Y
7702,LP002978,Ava,Rogers,Male,23,No,0,Graduate,No,4607,893.6442208947527,17326,360.0,1.0,Rural,33141,Miami,25.75,-80.4,5500.644220894753,5.149533068455348,3.1492403551282724,0.26588561205055694,Y
7704,LP001807,Jorge,Reed,Male,35,Yes,0,Graduate,No,8455,546.9163133560937,39926,360.0,0.0,Urban,33182,Miami,25.96,-80.2,9001.916313356094,15.431188657646429,4.43478519741082,0.21176146467302828,Y
7709,LP002862,Doris,Parker,Male,37,Yes,2,Graduate,No,10616,1403.6002998386998,238266,360.0,1.0,Urban,33129,Miami,25.93,-80.3,12019.6002998387,7.558022023218356,19.82147264335852,0.04455505798117238,Y
7710,LP002537,Clarissa,Bennett,Male,21,No,2,Not Graduate,Yes,3132,2062.395798354338,100539,360.0,0.0,Rural,33183,Miami Beach,25.95,-80.45,5194.395798354338,1.517886196384585,19.351557398542404,0.031151780385916053,Y
7713,LP002940,Levi,Perry,Male,32,No,0,Graduate,No,2066,2452.897732783066,138973,360.0,1.0,Rural,33185,Miami,25.71,-80.24,4518.897732783066,0.8419258766977483,30.74693460252899,0.014866090060011225,Y
7716,LP002129,Kirk,Collins,Female,31,Yes,0,Graduate,No,2731,300.788993040071,132752,360.0,0.0,Semiurban,33139,Miami,25.75,-80.24,3031.788993040071,9.049369138646428,43.772250659261736,0.020572039803243618,N
7717,LP001144,Herbert,Flores,Male,28,No,2,Graduate,No,3313,1047.348254324591,119316,360.0,1.0,Urban,33054,Miami,25.52,-80.38,4360.348254324591,3.160209392569108,27.357595184399592,0.027766370257381597,Y
7720,LP001498,Miguel,Duncan,Male,34,No,3+,Graduate,No,1513,3101.946632838156,13996,240.0,1.0,Urban,33168,Opa Locka,25.9,-80.19,4614.946632838156,0.4876010383124483,3.03209744680138,0.10809459169822105,Y
7721,LP001482,Boyd,Rodriguez,Male,35,Yes,0,Graduate,Yes,3349,997.333312330051,62427,360.0,1.0,Rural,33167,Miami,25.56,-80.21,4346.333312330051,3.3545910555500065,14.359837517620853,0.05364579996155571,N
7726,LP001579,Blas,King,Female,40,Yes,1,Graduate,No,2729,1425.1774568960318,134586,360.0,1.0,Semiurban,33196,Miami,25.52,-80.13,4154.177456896032,1.9135066164483232,32.38995238979213,0.020276846946584735,Y
7727,LP001964,Perry,Parker,Male,34,Yes,1,Graduate,No,2196,1706.1485584574566,38559,360.0,1.0,Semiurban,33034,Miami,25.75,-80.47,3902.1485584574566,1.286355536617305,9.878947578474621,0.05695020746887967,N
7731,LP002978,Lorenzo,Wallace,Female,36,No,0,Graduate,No,1825,1519.3395942299264,212146,180.0,1.0,Semiurban,33101,Miami,25.77,-80.24,3344.3395942299267,1.2003897069617453,63.41538550104492,0.008602525607244034,Y
7736,LP001603,Caleb,Price,Male,42,Yes,1,Not Graduate,No,3284,1302.5122792332063,36080,360.0,1.0,Rural,33144,Miami Gardens,25.76,-80.36,4586.512279233206,2.5193471916749566,7.864829084671291,0.09101743299797678,Y
7738,LP001343,Ross,Alexander,Male,22,Yes,0,Not Graduate,No,7613,435.62507476829114,78384,360.0,1.0,Urban,33135,Miami,25.67,-80.36,8048.625074768292,17.43601190114901,9.73759638143846,0.09712317407667283,N
7739,LP001206,Abraham,Morris,Female,28,Yes,2,Graduate,No,2288,2280.7018051041937,56771,120.0,1.0,Semiurban,33181,Hialeah,25.78,-80.31,4568.701805104194,1.002760305874202,12.423348923246767,0.04030155710561544,N
7742,LP001543,Lewis,Gilbert,Male,32,No,2,Graduate,No,2954,1909.6979228549721,124796,360.0,1.0,Semiurban,33135,Miami,25.78,-80.21,4863.697922854972,1.546031931403433,25.653391429238077,0.023670440795852465,Y
7743,LP001743,Eric,Gilbert,Male,34,No,1,Graduate,No,1770,1795.5389217674096,26813,360.0,0.0,Rural,33154,Miami,25.77,-80.15,3565.5389217674096,0.985227750177936,7.517932816141183,0.06601029313045424,N
7744,LP001641,Terence,Thompson,Male,38,Yes,0,Graduate,No,4398,3260.2575429925587,68626,180.0,1.0,Urban,33189,Hialeah,25.9,-80.36,7658.257542992558,1.3485595485857753,8.959876282367057,0.06408556399084908,Y
7747,LP001343,Pierre,Rivera,Male,23,No,2,Graduate,Yes,2298,2761.9484778771202,33380,360.0,1.0,Semiurban,33122,Miami,25.82,-80.18,5059.94847787712,0.831720178063415,6.595601624065865,0.06884155657409904,N
7748,LP002277,Jonathan,Parker,Male,30,No,0,Graduate,No,1281,1723.5126723300377,35017,360.0,1.0,Rural,33014,Miami,25.9,-80.5,3004.5126723300377,0.7428185484245846,11.65092409104797,0.03658118681820778,N
7749,LP002265,Gustavo,Coleman,Male,22,Yes,0,Graduate,No,5196,470.76233250660425,54721,360.0,1.0,Semiurban,33140,Miami,25.76,-80.45,5666.762332506604,11.014020497126614,9.654780280068534,0.0949526698585578,N
7750,LP001493,Sheldon,Parker,Male,35,Yes,0,Graduate,No,5839,1876.9482849553942,64370,360.0,1.0,Semiurban,33193,Miami,25.5,-80.23,7715.948284955394,3.1092442996313343,8.341380248134199,0.09070854888070715,N
7751,LP002755,Glenn,Davis,Male,23,Yes,0,Graduate,No,3824,1189.4113920513641,11879,180.0,1.0,Rural,33139,Miami,25.78,-80.3,5013.411392051365,3.212334849560144,2.368971963255766,0.3218855218855219,N
7753,LP001473,Anna,Lopez,Male,37,Yes,0,Graduate,No,528,522.6290741417165,64920,360.0,0.0,Semiurban,33167,Hialeah,25.66,-80.19,1050.6290741417165,1.0083473704462418,61.73279305061458,0.008132961599482447,Y
7754,LP002768,Juan,Parker,Male,34,No,0,Not Graduate,No,1733,1504.7027480967108,-7684,180.0,1.0,Urban,33196,Miami,25.83,-80.16,3237.702748096711,1.150957585878491,-2.3725548769536378,-0.2255629311466875,Y
7762,LP002692,Carlos,Rivera,Male,21,Yes,0,Graduate,No,3010,695.1201197081682,22714,360.0,1.0,Urban,33181,Miami,25.85,-80.27,3705.120119708168,4.3239663885334485,6.128781384934866,0.1325115562403698,Y
7763,LP001790,Vincent,Gilbert,Male,40,Yes,1,Graduate,No,1899,1365.2071726747595,29718,360.0,1.0,Urban,33172,Miami,25.94,-80.41,3264.2071726747595,1.3899795272499844,9.101413303479886,0.06389851610081093,N
7770,LP002387,Dario,Brooks,Male,23,Yes,3+,Graduate,No,3525,1945.5947624372193,59714,360.0,1.0,Urban,33170,Opa Locka,25.75,-80.14,5470.594762437219,1.8108545589563543,10.913454411854419,0.059030394373273044,Y
7771,LP002600,Ross,Harris,Male,33,No,0,Graduate,No,6564,1473.6235896274231,85076,360.0,1.0,Semiurban,33010,Miami,25.66,-80.3,8037.623589627423,4.451305435618627,10.583403869012747,0.0771536372932755,Y
7773,LP001245,Danielle,Alexander,Male,20,Yes,0,Graduate,No,2429,1058.347739490543,153384,360.0,1.0,Urban,33168,Homestead,25.53,-80.41,3487.347739490543,2.2929203598132415,43.970386972487155,0.015835968315024287,N
7779,LP001036,Titus,Spencer,Male,35,No,1,Graduate,No,3203,1325.7816251794761,75678,360.0,1.0,Rural,33128,Miami,25.53,-80.36,4528.781625179476,2.4141124200199293,16.706765637295273,0.04232349793205513,N
7782,LP001586,Troy,Schmidt,Female,21,No,1,Not Graduate,No,1985,1665.3960969720654,106810,360.0,1.0,Semiurban,33035,Miami,25.5,-80.3,3650.3960969720656,1.1911933804975035,29.251825100150764,0.018584228216194962,N
7785,LP001778,Doris,Simmons,Male,33,Yes,3+,Graduate,No,2158,1920.3916766694012,125998,360.0,1.0,Semiurban,33170,Miami Beach,25.68,-80.35,4078.391676669401,1.1231442428962441,30.886467882110903,0.017127120056508384,Y
7790,LP001870,Felipe,Malone,Female,41,Yes,2,Graduate,No,3038,1745.320974564251,124322,360.0,1.0,Rural,33157,Miami,25.81,-80.36,4783.320974564251,1.7396572819369898,25.985296693293677,0.024436347256742517,Y
7792,LP002337,Cesar,Griffin,Male,39,Yes,0,Graduate,No,6905,2021.1404449402453,33476,180.0,1.0,Urban,33035,Miami,25.9,-80.18,8926.140444940245,3.4146985276307276,3.7499129991814613,0.20626101502524122,N
7796,LP002301,Alonso,Stone,Male,24,Yes,0,Graduate,No,2308,2020.139327304163,91792,360.0,1.0,Rural,33145,Homestead,25.93,-80.14,4328.139327304163,1.1419301820614502,21.203290783704254,0.02514352946303095,N
7801,LP001504,Esmeralda,Parker,Male,32,Yes,2,Not Graduate,No,3156,411.7520422530206,123973,240.0,1.0,Rural,33129,Homestead,25.9,-80.27,3567.7520422530206,7.646237151905707,34.738473990962255,0.02545695065094294,N
7803,LP001520,Morgan,Cooper,Male,35,No,2,Graduate,No,1516,1676.6264779704131,25344,360.0,1.0,Urban,33140,Miami,25.85,-80.3,3192.6264779704134,0.9036576496062769,7.935805948135301,0.059814559084632075,Y
7804,LP001333,Garrett,Rivera,Male,23,No,0,Graduate,No,3476,1803.3907502806808,-18592,360.0,1.0,Rural,33172,Miami,25.85,-80.47,5279.390750280681,1.9264120033087584,-3.520951550604799,-0.18697219084503255,N
7808,LP001198,Faith,Jordan,Male,37,Yes,2,Graduate,No,2652,1234.5293332597948,75671,360.0,1.0,Rural,33035,Miami,25.65,-80.18,3886.529333259795,2.1464484319469928,19.465062128945505,0.035045987947986044,Y
7809,LP001003,Dorian,Torres,Male,37,Yes,0,Graduate,No,2665,1424.4813590097533,24684,180.0,1.0,Urban,33160,Miami,25.52,-80.32,4089.4813590097533,1.8695439145211339,6.03449761374188,0.10796029977719263,N
7812,LP001367,Stephen,Daniels,Male,37,Yes,3+,Graduate,No,2952,1056.1599427146762,65313,360.0,0.0,Urban,33142,Miami,25.9,-80.4,4008.159942714676,2.7923873017923597,16.290943971613007,0.0451970481060722,N
7815,LP002723,Amber,Patrick,Male,40,Yes,1,Graduate,No,2704,2584.0860780496646,62562,360.0,1.0,Urban,33168,Homestead,25.78,-80.13,5288.086078049664,1.045999985439576,11.828508569682716,0.04322043380272685,Y
7816,LP002585,Adam,Vaughan,Female,34,Yes,2,Graduate,No,3324,1414.16216508763,115330,180.0,1.0,Rural,33109,Miami,25.77,-80.31,4738.16216508763,2.3488474197543083,24.33552513767325,0.028821392340307464,Y
7817,LP001008,Gordon,Henderson,Male,23,Yes,0,Graduate,No,2549,807.3163339976118,148137,360.0,1.0,Urban,33161,Miami,25.5,-80.24,3356.3163339976118,3.1534683796301106,44.12363485081873,0.01720692867461421,Y
7818,LP001036,Mathew,Parker,Male,46,Yes,1,Not Graduate,No,3754,1275.7387036109446,125878,360.0,1.0,Semiurban,33145,Key Biscayne,25.78,-80.51,5029.738703610945,2.940304064866777,25.021772629464486,0.02982228965911709,N
7819,LP002705,Roberto,Spencer,Male,37,Yes,3+,Not Graduate,No,2073,1725.821903655451,247420,84.0,0.0,Rural,33160,Miami,25.73,-80.34,3798.821903655451,1.2004712215033504,65.11357802374383,0.008378431903516679,N
7820,LP001870,Gustavo,Foster,Female,34,Yes,2,Graduate,No,4501,1686.639645302002,44210,360.0,1.0,Rural,33143,Miami,25.93,-80.45,6187.6396453020025,2.6670385544270316,7.143734735558767,0.10180724254144896,N
7822,LP001926,Juan,Johnson,Male,36,No,2,Graduate,No,2901,2521.220892698469,7322,360.0,1.0,Urban,33122,Miami,25.85,-80.5,5422.2208926984695,1.1501768177394975,1.3501201859319327,0.3961491192134371,N
7823,LP001776,Evan,Brown,Male,30,Yes,0,Graduate,No,2241,1137.6019419249014,95284,360.0,1.0,Rural,33190,Miami,25.81,-80.28,3378.6019419249014,1.9682032126270599,28.193852896690434,0.023518916933410294,N
7826,LP001784,Daniel,Sanchez,Male,42,No,1,Graduate,No,2852,1055.6950094039958,62984,360.0,1.0,Semiurban,33147,Hialeah,25.9,-80.18,3907.6950094039958,2.6989812335809216,16.113818000244514,0.04528062237040565,Y
7829,LP001146,Bernard,Parker,Male,40,No,0,Graduate,Yes,2831,1822.621453659625,82685,360.0,1.0,Semiurban,33184,Miami,25.68,-80.38,4653.621453659625,1.5524055139397366,17.76406541825011,0.03423796047698522,N
7831,LP002683,Adam,Blake,Male,38,Yes,1,Not Graduate,No,3842,1833.1334643484056,67974,480.0,1.0,Urban,33032,Miami,25.49,-80.14,5675.133464348406,2.094722153365709,11.975405516262487,0.05652077969841854,Y
7832,LP001608,Cleofas,Coleman,Male,34,No,2,Graduate,No,1899,2265.5694582751635,34401,180.0,1.0,Rural,33140,Miami,25.86,-80.3,4164.569458275164,0.8378300488726782,8.258414688455204,0.0552002790535434,Y
7837,LP002301,Ryan,Torres,Male,33,No,0,Graduate,No,2610,1807.200643176116,-1116,360.0,0.0,Semiurban,33032,Miami,25.94,-80.18,4417.2006431761165,1.4434238865303788,-0.25259151635036203,-2.3408071748878925,Y
7839,LP001228,Amanda,Rivera,Female,34,Yes,0,Graduate,Yes,1770,884.5454087810858,8456,360.0,1.0,Semiurban,33193,Miami,25.83,-80.16,2654.545408781086,1.9987681969198248,3.184279949436588,0.20929407591344448,Y
7840,LP002537,Brooke,Thompson,Male,46,No,0,Graduate,No,1277,1278.036995479339,22410,360.0,1.0,Urban,33129,Miami,25.94,-80.28,2555.036995479339,0.9984073990928028,8.767478733537425,0.05698094685645442,N
7841,LP002143,Christina,Alexander,Female,34,Yes,2,Graduate,No,2043,2632.3926955628663,86540,480.0,1.0,Rural,33180,Miami,25.75,-80.19,4675.392695562867,0.7758052961270653,18.50571704170874,0.023607307518979444,Y
7847,LP001630,Grayson,Reed,Female,39,Yes,2,Graduate,No,1797,1006.8348001741742,89565,360.0,1.0,Urban,33039,Miami,25.93,-80.4,2803.8348001741742,1.7830303137869838,31.932361932488217,0.020063416921599714,N
7849,LP001800,Blaine,Foster,Male,41,No,0,Graduate,No,2685,2792.51155737227,184800,360.0,1.0,Semiurban,33133,Miami,25.79,-80.24,5477.5115573722705,0.9611558588021945,33.73178975068878,0.014529142158321654,Y
7850,LP001036,Trevor,Martinez,Male,21,Yes,1,Graduate,No,5532,1417.7770412607706,115434,180.0,1.0,Semiurban,33129,Homestead,25.86,-80.41,6949.777041260771,3.899132731302226,16.60735185645689,0.04792307359119851,N
7851,LP001560,Sean,Perez,Male,33,No,0,Graduate,No,1624,1677.3275343580349,24896,360.0,1.0,Semiurban,33054,Miami Beach,25.71,-80.2,3301.327534358035,0.967629957057926,7.53892511901904,0.0652287424187653,N
7854,LP001255,Gustavo,Spencer,Male,33,No,0,Graduate,No,3073,1309.6331716568684,55189,360.0,1.0,Rural,33165,Hialeah,25.77,-80.41,4382.633171656868,2.344668261459607,12.589785193896683,0.05568037687986954,Y
7856,LP001914,Theodore,Alexander,Male,39,Yes,2,Graduate,No,1611,1791.96167721286,19496,360.0,1.0,Semiurban,33012,Miami Beach,25.7,-80.36,3402.96167721286,0.8985133483189014,5.727444033965502,0.08262809663025081,Y
7858,LP002692,Simon,Parker,Female,35,Yes,1,Graduate,No,2190,1256.614695068537,388,360.0,1.0,Semiurban,33101,Hialeah,25.6,-80.21,3446.614695068537,1.741391865559149,0.11254157854559405,5.629820051413882,Y
7863,LP002619,Marshall,Harris,Male,19,Yes,1,Graduate,No,3494,395.0332535859584,-2565,360.0,1.0,Urban,33018,Miami,25.56,-80.18,3889.0332535859584,8.822491465963811,-0.659377396744745,-1.3627145085803432,N
7866,LP001245,Isaac,Schmidt,Male,21,No,0,Graduate,Yes,4132,2546.7976250834226,100120,180.0,0.0,Rural,33016,Hialeah,25.88,-80.18,6678.797625083423,1.6217928611440267,14.988478037723429,0.04127006322349957,N
7869,LP002418,Elias,Bell,Female,41,Yes,2,Graduate,No,1562,1524.3606862435445,101861,360.0,1.0,Semiurban,33136,Miami,25.93,-80.58,3086.3606862435445,1.02402009838518,32.99290570546727,0.015334472128958788,N
7870,LP001870,Russell,Lewis,Male,20,No,2,Graduate,No,4253,1145.7167451246783,87422,360.0,1.0,Semiurban,33136,Miami,25.81,-80.51,5398.716745124679,3.708849651042278,16.190108505030746,0.048648524987703466,Y
7873,LP002603,Amado,Fuller,Male,46,No,0,Not Graduate,No,1876,2053.390229092289,77997,360.0,1.0,Urban,33175,Miami,25.7,-80.51,3929.390229092289,0.9131663368691602,19.844594417794784,0.024051898766635042,N
7874,LP002377,Fletcher,Foster,Female,21,Yes,0,Graduate,No,1820,1336.2137900181938,29883,360.0,1.0,Urban,33181,Miami,25.93,-80.3,3156.213790018194,1.3610389105957676,9.464990965919922,0.06090215499933074,N
7875,LP001616,Bernard,Daniels,Male,21,Yes,2,Graduate,No,4061,1163.724750204462,53151,360.0,1.0,Semiurban,33138,Miami,25.65,-80.27,5224.724750204462,3.4866606889628735,10.171029386482786,0.07640352197471403,N
7880,LP001238,Evelyn,Clark,Male,25,Yes,2,Graduate,No,1771,940.0520991946041,112244,360.0,1.0,Rural,33138,Miami,25.76,-80.35,2711.052099194604,1.8819361877155405,41.38711053277074,0.015777985656376677,N
7882,LP001870,Jefferson,Rivera,Female,33,Yes,0,Graduate,No,10007,2197.9741686937887,40295,360.0,1.0,Semiurban,33193,Miami,25.57,-80.26,12204.974168693789,4.550758322888464,3.3012522755741776,0.24833730395076434,N
7885,LP001841,Garrett,Walker,Male,40,Yes,0,Not Graduate,No,1489,453.49163725542394,67151,360.0,1.0,Urban,33181,Hialeah,25.85,-80.28,1942.491637255424,3.2761878942190155,34.551730870748614,0.022173576364069573,Y
7887,LP001925,Fletcher,Bryant,Male,25,No,0,Not Graduate,No,2167,2734.8137430149645,80085,360.0,1.0,Urban,33172,Miami,25.9,-80.21,4901.8137430149645,0.7920860860987885,16.334497738996724,0.027058412206877606,Y
7888,LP001144,Craig,Gonzales,Male,31,No,2,Graduate,No,7835,1302.9690366943437,56753,120.0,1.0,Urban,33055,Miami,25.7,-80.4,9137.969036694343,6.008578255709426,6.210000249713958,0.13805194347534974,Y
7889,LP002619,Noah,Harper,Male,22,No,0,Not Graduate,No,2273,2653.8130549851367,85418,360.0,1.0,Rural,33136,Miami,25.89,-80.5,4926.813054985137,0.8561808130827976,17.33385561645614,0.026610004799868883,N
7896,LP002534,Harold,Bell,Female,36,Yes,0,Graduate,No,2286,2800.364128008677,69260,180.0,1.0,Semiurban,33131,Miami,25.48,-80.15,5086.364128008678,0.816031010443823,13.614122806481735,0.033005587560098755,N
7897,LP001577,Perry,Collins,Male,41,Yes,0,Not Graduate,No,1902,1321.8428642407346,91093,180.0,1.0,Rural,33101,Miami,25.7,-80.24,3223.8428642407343,1.4378124956600051,28.24726780027069,0.020879531033877095,N
7901,LP002519,Aidan,Morales,Male,40,Yes,0,Graduate,No,3177,2914.3856799041664,137908,360.0,1.0,Semiurban,33142,Miami,25.81,-80.24,6091.385679904166,1.0897357498526348,22.636124376513425,0.0230369301495914,N
7909,LP001726,Osvaldo,Harper,Male,33,Yes,0,Graduate,No,5842,1934.8717269690565,-1883,360.0,1.0,Semiurban,33156,Miami,25.7,-80.49,7776.871726969057,3.0177619305111016,-0.24209707566542532,-3.104144527098831,N
7914,LP002143,Walter,Ward,Male,39,Yes,0,Graduate,Yes,1843,1563.8819404900657,24711,360.0,1.0,Urban,33184,Miami,25.82,-80.27,3406.881940490066,1.1777246272155442,7.251131474480148,0.07457915182907089,Y
7919,LP001473,Ivy,Rivera,Female,23,Yes,3+,Graduate,No,3061,646.5891246866126,51166,360.0,1.0,Semiurban,33128,Miami,25.65,-80.21,3707.5891246866126,4.726762515478171,13.796621378035153,0.05982371450348858,Y
7924,LP001095,Antero,Dawson,Male,43,No,0,Graduate,No,1488,2449.8999818458033,88776,360.0,1.0,Semiurban,33183,Hialeah,25.85,-80.24,3937.8999818458033,0.6071239181614293,22.538272210303443,0.016761098032147967,N
7925,LP002571,Trevor,Parker,Female,37,Yes,0,Graduate,No,2984,1814.3464870813466,14843,360.0,1.0,Semiurban,33156,Miami,25.91,-80.24,4798.346487081347,1.6437633373216678,3.09271273494291,0.20102398275397468,N
